topic,input
Debt collection,"transworld systems inc. 
is trying to collect a debt that is not mine, not owed and is inaccurate."
"Credit reporting, credit repair services, or other personal consumer reports","I would like to request the suppression of the following items from my credit report, which are the result of my falling victim to identity theft. This information does not relate to [ transactions that I have made/accounts that I have opened ], as the attached supporting documentation can attest. As such, it should be blocked from appearing on my credit report pursuant to section 605B of the Fair Credit Reporting Act."
Debt collection,"Over the past 2 weeks, I have been receiving excessive amounts of telephone calls from the company listed in this complaint. The calls occur between XXXX XXXX and XXXX XXXX to my cell and at my job. The company does not have the right to harass me at work and I want this to stop. It is extremely distracting to be told 5 times a day that I have a call from this collection agency while at work."
"Credit reporting, credit repair services, or other personal consumer reports","I HAD FILED WITH CFPB ON XX/XX/XXXX19 TO HAVE THE LISTED ACCOUNTS DELETED BY STATING THAT THESE ACCOUNTS WERE "" NOT MINE '' AND I UPLOADED MY IDENTITY THEFT REPORT. PRIOR TO XX/XX/2019 I HAD DISPUTED THESE SAME ACCOUNTS AND SUPPLIED AN IDENTITY THEFT REPORT BUT I HAVE NOT RECEIVED INVESTIGATIVE RESULTS REPORTS FROM XXXX, TRANS UNION OR XXXX. 

THIS IS THE THIRD ATTEMPT TO DISPUTE THESE FRAUDULENT ACCOUNTS AND I HAVE ATTACHED MY IDENTITY THEFT POLICE REPORT."
"Credit reporting, credit repair services, or other personal consumer reports","I have several accounts that the balance is incorrect and on a couple the limit is also wrong. I am tried to dispute and I get the company has not reported the updated information to them. The following are my accounts that are not updated : XXXX 's {$130.00} should be {$13.00} dates XX/XX/XXXX, XX/XX/XXXX & XXXX XXXX XXXX {$280.00} should be {$170.00} XX/XX/XXXX, XX/XX/XXXX & XX/XX/XXXX Capital One Silver {$980.00} should be {$710.00} XXXX & XX/XX/XXXX Capital One {$120.00} should be {$0.00} XXXX & XX/XX/XXXX XXXX XXXX {$120.00} should be {$55.00} XX/XX/XXXX, XX/XX/XXXX & XX/XX/XXXX I have called all the creditors and they keep saying the updated information is going to the credit bureaus monthly. Can you please help the matter? Thank you!"
"Money transfer, virtual currency, or money service","I was sold access to an event digitally, of which I have all the screenshots to detail the transactions, transferred the money and was provided with only a fake of a ticket. I have reported this to paypal and it was for the amount of {$21.00} including a {$1.00} fee from paypal. 

This occured on XX/XX/2019, by paypal user who gave two accounts : 1 ) XXXX 2 ) XXXX XXXX"
Debt collection,"While checking my credit report I noticed three collections by a company called ARS that i was unfamiliar with. I disputed these collections with XXXX, and XXXX and they both replied that they contacted the creditor and the creditor verified the debt so I asked for proof which both bureaus replied that they are not required to prove anything. I then mailed a certified letter to ARS requesting proof of the debts n the form of an original aggrement, or a proof of a right to the debt, or even so much as the process as to how the bill was calculated, to which I was simply replied a letter for each collection claim that listed my name an account number and an amount with no other information to verify the debts after I sent a clear notice to provide me evidence. Afterwards I recontacted both XXXX, and XXXX, to redispute on the premise that it is not my debt if evidence can not be drawn up, I feel as if I am being personally victimized by ARS on my credit report for debts that are not owed to them or any party for that matter, and I feel discouraged that the credit bureaus who control many aspects of my personal finances are so negligent about my information."
"Credit reporting, credit repair services, or other personal consumer reports",I would like the credit bureau to correct my XXXX XXXX XXXX XXXX balance. My correct balance is XXXX
"Credit reporting, credit repair services, or other personal consumer reports","MY NAME IS XXXX XXXX XXXX I live at XXXX XXXX XXXX XXXX XXXX SC XXXX My DOB XXXX my SS XXXX. I have addresses on my file that are not mine please remove the following addresses : XXXX XXXX XXXX XXXX XXXX XXXX, XXXX, OH XXXX XXXX XXXX XXXX XXXX XXXX XXXX, XXXX, OH XXXX XXXX XXXX XXXX XXXX XXXX, XXXX, OH XXXX XXXX XXXX XXXX XXXX XXXX, XXXX, NY XXXX XXXX XXXX XXXX, XXXX, OH XXXX XXXX XXXX XXXX, XXXX, OH XXXX XXXX XXXX XXXX, XXXX, OH XXXX XXXX XXXX XXXX , XXXX, OH XXXX XXXX XXXX XXXX XXXX XXXX, XXXX, OH XXXX XXXX XXXX  XXXX XXXX XXXX XXXX, XXXX, NJ XXXX. 
I have attach my proof of ID and address."
"Credit reporting, credit repair services, or other personal consumer reports",Today XX/XX/XXXX went online to dispute the incorrect personal information and it says This request can not be processed online
